Yes. The clean way to model this is:

**L0 Category → L1 Category → Attribute Definitions → Product Attribute Mapping → SKU Variant Values**

So the **category defines which attributes are allowed**, the **product declares which of those attributes it uses**, and the **SKU stores the variant-specific value** in `sku_attributes` JSONB.

`*` below means the attribute is a **SKU/variant attribute**.

# 1. Category Attribute Definitions

## Electronics — Category ID 1

| L1 ID | Category             | Attributes                                              |
| ----: | -------------------- | ------------------------------------------------------- |
|     2 | Smartwatches         | Color*, Strap Size, Display Size, GPS, Water Resistance |
|     3 | Laptops              | RAM*, Storage*, Color*, Processor, Screen Size          |
|     4 | Cameras              | Color*, Resolution, Sensor Type, Connectivity           |
|     5 | Monitors             | Size (inches)*, Resolution*, Refresh Rate, Panel Type   |
|     6 | Smartphones          | Color*, Storage*, RAM, Screen Size, Camera              |
|     7 | Headphones & Earbuds | Color*, Connectivity, ANC, Battery Life                 |
|     8 | Tablets              | Color*, Storage*, RAM, Screen Size                      |
|     9 | Keyboards & Mice     | Color*, Connectivity, Layout, Switch Type               |

## Fashion — Category ID 10

| L1 ID | Category         | Attributes                              |
| ----: | ---------------- | --------------------------------------- |
|    11 | Women's Clothing | Size*, Color*, Material, Fit            |
|    12 | Men's Clothing   | Size*, Color*, Material, Fit            |
|    13 | Accessories      | Color*, Size*, Material                 |
|    14 | Footwear         | Size (US)*, Color*, Material, Shoe Type |

## Home & Kitchen — Category ID 15

| L1 ID | Category           | Attributes                           |
| ----: | ------------------ | ------------------------------------ |
|    16 | Kitchenware        | Size*, Capacity*, Material, Color    |
|    17 | Furniture          | Color*, Material, Dimensions         |
|    18 | Home Appliances    | Capacity*, Color*, Power Consumption |
|    19 | Kitchen Appliances | Capacity*, Color*, Power Consumption |

## Beauty & Personal Care — Category ID 20

| L1 ID | Category  | Attributes                             |
| ----: | --------- | -------------------------------------- |
|    21 | Skincare  | Skin Type, Ingredient, Pack Size*, SPF |
|    22 | Grooming  | Pack Size*, Skin Type, Ingredient      |
|    23 | Makeup    | Shade*, Finish, Skin Type              |
|    24 | Hair Care | Pack Size*, Hair Type, Ingredient      |

## Sports & Fitness — Category ID 25

| L1 ID | Category      | Attributes                                |
| ----: | ------------- | ----------------------------------------- |
|    26 | Gym Equipment | Weight, Material, Size, Color             |
|    27 | Yoga          | Color*, Material, Size                    |
|    28 | Running       | Size (US)*, Color*, Cushioning, Shoe Type |
|    29 | Outdoor       | Size*, Material, Color*, Sport Type       |

## Books & Stationery — Category ID 30

| L1 ID | Category             | Attributes                                  |
| ----: | -------------------- | ------------------------------------------- |
|    31 | Non-Fiction          | Format*, Language, Publication Year, Author |
|    32 | Technology           | Format*, Language, Publication Year, Author |
|    33 | Notebooks & Supplies | Size*, Color*, Paper Type, Page Count       |
|    34 | Fiction              | Format*, Language, Publication Year, Author |

## Grocery — Category ID 35

| L1 ID | Category  | Attributes                           |
| ----: | --------- | ------------------------------------ |
|    36 | Pantry    | Pack Size*, Vegetarian, Brand Origin |
|    37 | Beverages | Pack Size*, Beverage Type, Flavor    |
|    38 | Snacks    | Pack Size*, Flavor, Vegetarian       |
|    39 | Breakfast | Pack Size*, Ingredients, Vegetarian  |

## Automotive — Category ID 40

| L1 ID | Category          | Attributes                              |
| ----: | ----------------- | --------------------------------------- |
|    41 | Car Accessories   | Color*, Size*, Material, Compatibility  |
|    42 | Replacement Parts | Size*, Vehicle Compatibility, Part Type |
|    43 | Car Care          | Pack Size*, Product Type, Suitable For  |

---

# 2. Product → Attribute Mapping

These are the attributes each product should have available.

## Electronics

### Smartwatches — Category 2

| Product | Product Name              | Attributes                                              |
| ------- | ------------------------- | ------------------------------------------------------- |
| P014    | boAt Lunar Pro Smartwatch | Color*, Strap Size, Display Size, GPS, Water Resistance |

### Laptops — Category 3

| Product | Product Name          | Attributes                                     |
| ------- | --------------------- | ---------------------------------------------- |
| P007    | Dell Inspiron 16 Plus | RAM*, Storage*, Color*, Processor, Screen Size |
| P008    | Lenovo ThinkPad E16   | RAM*, Storage*, Color*, Processor, Screen Size |
| P009    | ASUS Vivobook S 16    | RAM*, Storage*, Color*, Processor, Screen Size |

### Cameras — Category 4

| Product | Product Name            | Attributes                                    |
| ------- | ----------------------- | --------------------------------------------- |
| P015    | Logitech MX Brio Webcam | Color*, Resolution, Sensor Type, Connectivity |

### Monitors — Category 5

| Product | Product Name          | Attributes                                            |
| ------- | --------------------- | ----------------------------------------------------- |
| P017    | LG UltraGear 27GS60F  | Size (inches)*, Resolution*, Refresh Rate, Panel Type |
| P018    | Samsung Odyssey G6 27 | Size (inches)*, Resolution*, Refresh Rate, Panel Type |

### Smartphones — Category 6

| Product | Product Name       | Attributes                                 |
| ------- | ------------------ | ------------------------------------------ |
| P001    | Apple iPhone 17    | Color*, Storage*, RAM, Screen Size, Camera |
| P002    | Samsung Galaxy S26 | Color*, Storage*, RAM, Screen Size, Camera |
| P003    | Google Pixel 11    | Color*, Storage*, RAM, Screen Size, Camera |
| P005    | OnePlus 14         | Color*, Storage*, RAM, Screen Size, Camera |
| P006    | Micromax IN Note 3 | Color*, Storage*, RAM, Screen Size, Camera |

### Headphones & Earbuds — Category 7

| Product | Product Name                            | Attributes                              |
| ------- | --------------------------------------- | --------------------------------------- |
| P011    | Portronics Muffs M2 Wireless Headphones | Color*, Connectivity, ANC, Battery Life |
| P012    | Nothing Ear (3)                         | Color*, Connectivity, ANC, Battery Life |
| P013    | Noise Buds X Prime                      | Color*, Connectivity, ANC, Battery Life |
| P016    | Sony WH-1000XM6                         | Color*, Connectivity, ANC, Battery Life |

### Tablets — Category 8

| Product | Product Name    | Attributes                         |
| ------- | --------------- | ---------------------------------- |
| P004    | Lava Tab Pro 11 | Color*, Storage*, RAM, Screen Size |
| P010    | OnePlus Pad 3   | Color*, Storage*, RAM, Screen Size |

### Keyboards & Mice — Category 9

| Product | Product Name                            | Attributes                                |
| ------- | --------------------------------------- | ----------------------------------------- |
| P019    | Zebronics Transformer Wireless Keyboard | Color*, Connectivity, Layout, Switch Type |

---

# Fashion

### Women's Clothing — Category 11

| Product | Product Name                   | Attributes                   |
| ------- | ------------------------------ | ---------------------------- |
| P024    | Uniqlo Supima Cotton T-Shirt   | Size*, Color*, Material, Fit |
| P025    | Zara Relaxed Fit Blouse        | Size*, Color*, Material, Fit |
| P026    | H&M Ribbed Midi Dress          | Size*, Color*, Material, Fit |
