# Flyway V2 — Full E-Commerce Seed Catalog

I’ve structured this around **152 products + exactly 400 SKUs**, with `P001–P152` as product IDs and `S001–S400` as SKU IDs.

The prices and stock below are **illustrative seed-data values** rather than live retail prices.

## 1. Product Attribute Categories

| Attribute Category | JSONB Attributes                          |
| ------------------ | ----------------------------------------- |
| Smartphone Specs   | `color`, `storage`                        |
| Laptop Specs       | `ram`, `storage`, `color`                 |
| Audio Specs        | `color`                                   |
| Shoe Sizes         | `size_us`, `color`                        |
| Apparel Sizes      | `size`, `color`                           |
| Beauty Shades      | `shade`                                   |
| Book Editions      | `format`                                  |
| Grocery Pack       | `pack_size`                               |
| Display Specs      | `size_inches`, `resolution`               |
| General Variants   | `color`, `size`, `capacity` as applicable |

---

# 2. Products — 152 Products

## Electronics — P001 to P019

| ID   | Brand      | Subcategory          | Product                       | Variant Pattern       | Attr Category    |
| ---- | ---------- | -------------------- | ----------------------------- | --------------------- | ---------------- |
| P001 | Apple      | Smartphones          | iPhone 17                     | color + storage       | Smartphone Specs |
| P002 | Samsung    | Smartphones          | Galaxy S26                    | color + storage       | Smartphone Specs |
| P003 | Google     | Smartphones          | Pixel 11                      | color + storage       | Smartphone Specs |
| P004 | Lava       | Tablets              | Tab Pro 11                    | color + storage       | Smartphone Specs |
| P005 | OnePlus    | Smartphones          | OnePlus 14                    | color + storage       | Smartphone Specs |
| P006 | Micromax   | Smartphones          | IN Note 3                     | color + storage       | Smartphone Specs |
| P007 | Dell       | Laptops              | Inspiron 16 Plus              | RAM + storage + color | Laptop Specs     |
| P008 | Lenovo     | Laptops              | ThinkPad E16                  | RAM + storage + color | Laptop Specs     |
| P009 | ASUS       | Laptops              | Vivobook S 16                 | RAM + storage + color | Laptop Specs     |
| P010 | OnePlus    | Tablets              | Pad 3                         | color + storage       | Smartphone Specs |
| P011 | Portronics | Headphones & Earbuds | Muffs M2 Wireless Headphones  | color only            | Audio Specs      |
| P012 | Nothing    | Headphones & Earbuds | Ear (3)                       | color only            | Audio Specs      |
| P013 | Noise      | Headphones & Earbuds | Buds X Prime                  | color only            | Audio Specs      |
| P014 | boAt       | Smartwatches         | Lunar Pro Smartwatch          | color only            | General Variants |
| P015 | Logitech   | Cameras              | MX Brio Webcam                | generic               | General Variants |
| P016 | Sony       | Headphones & Earbuds | WH-1000XM6                    | color only            | Audio Specs      |
| P017 | LG         | Monitors             | UltraGear 27GS60F             | size + resolution     | Display Specs    |
| P018 | Samsung    | Monitors             | Odyssey G6 27                 | size + resolution     | Display Specs    |
| P019 | Zebronics  | Keyboards & Mice     | Transformer Wireless Keyboard | color only            | General Variants |

## Fashion — P020 to P038

| ID   | Brand          | Subcategory      | Product                 | Variant Pattern | Attr Category    |
