              table_name              |          column_name           
--------------------------------------+--------------------------------
 pg_proc                              | prosrc
 pg_proc                              | probin
 pg_type                              | typdefault
 pg_aggregate                         | agginitval
 pg_aggregate                         | aggminitval
 pg_description                       | description
 pg_database                          | datcollate
 pg_database                          | datctype
 pg_database                          | datlocale
 pg_database                          | daticurules
 pg_database                          | datcollversion
 pg_authid                            | rolpassword
 pg_shdescription                     | description
 pg_ts_dict                           | dictinitoption
 pg_extension                         | extversion
 pg_foreign_server                    | srvtype
 pg_foreign_server                    | srvversion
 pg_replication_origin                | roname
 pg_seclabel                          | provider
 pg_seclabel                          | label
 pg_shseclabel                        | provider
 pg_shseclabel                        | label
 pg_collation                         | collcollate
 pg_collation                         | collctype
 pg_collation                         | colllocale
 pg_collation                         | collicurules
 pg_collation                         | collversion
 pg_parameter_acl                     | parname
 cms_help                             | content
 pg_subscription                      | subconninfo
 cms_help                             | icon
 cms_help                             | title
 pg_roles                             | rolpassword
 pg_shadow                            | passwd
 pg_user                              | passwd
 pg_policies                          | permissive
 pg_policies                          | cmd
 pg_policies                          | qual
 pg_policies                          | with_check
 pg_rules                             | definition
 pg_views                             | definition
 pg_matviews                          | definition
 pg_indexes                           | indexdef
 pg_stats_ext_exprs                   | expr
 pg_publication_tables                | rowfilter
 pg_locks                             | locktype
 pg_locks                             | virtualxid
 pg_locks                             | virtualtransaction
 pg_locks                             | mode
 pg_cursors                           | name
 pg_cursors                           | statement
 pg_available_extensions              | default_version
 pg_available_extensions              | installed_version
 pg_available_extensions              | comment
 pg_available_extension_versions      | version
 pg_available_extension_versions      | comment
 pg_prepared_xacts                    | gid
 pg_prepared_statements               | name
 pg_prepared_statements               | statement
 pg_seclabels                         | objtype
 pg_seclabels                         | objname
 pg_seclabels                         | provider
 pg_seclabels                         | label
 pg_settings                          | name
 pg_settings                          | setting
 pg_settings                          | unit
 pg_settings                          | category
 pg_settings                          | short_desc
 pg_settings                          | extra_desc
 pg_settings                          | context
 pg_settings                          | vartype
 pg_settings                          | source
 pg_settings                          | min_val
 pg_settings                          | max_val
 pg_settings                          | boot_val
 pg_settings                          | reset_val
 pg_settings                          | sourcefile
 pg_file_settings                     | sourcefile
 pg_file_settings                     | name
 pg_file_settings                     | setting
 pg_file_settings                     | error
 pg_hba_file_rules                    | file_name
 pg_hba_file_rules                    | type
 pg_hba_file_rules                    | address
 pg_hba_file_rules                    | netmask
 pg_hba_file_rules                    | auth_method
 pg_hba_file_rules                    | error
 pg_ident_file_mappings               | file_name
 pg_ident_file_mappings               | map_name
 pg_ident_file_mappings               | sys_name
 pg_ident_file_mappings               | pg_username
 pg_ident_file_mappings               | error
 pg_timezone_abbrevs                  | abbrev
 pg_timezone_names                    | name
 pg_timezone_names                    | abbrev
 pg_config                            | name
 pg_config                            | setting
 pg_shmem_allocations                 | name
 pg_backend_memory_contexts           | name
 pg_backend_memory_contexts           | ident
 pg_backend_memory_contexts           | parent
 pg_stat_activity                     | application_name
 pg_stat_activity                     | client_hostname
